Tiempo,,Velocidad,,R,,T,
4,"332089552312,28",18,208971083431,27082,25,8789,19
4,"432835820970,71",17,9370979826029,26746,89,9394,15
4,"533582089629,13",17,6669528448951,27166,9,8948,39
4,"634328358287,56",17,3985597142792,27166,9,9139,43
4,"735074626945,98",17,1319424787915,27585,29,9394,15
4,"835820895604,41",16,8671248684064,27166,9,9012,7
4,"936567164262,83",16,6041304529251,27249,93,9266,79
5,"37313432921,26",16,3429826398769,27417,61,9171,27
5,"138059701579,68",16,837046724365,27166,9,9075,75
5,"238805970238,11",15,8263196273552,27501,45,9234,95
5,"339552238896,53",15,5708504129064,27501,45,9203,11
5,"440298507554,96",15,3173197668474,27417,61,9139,43
5,"541044776213,38",15,657502543954,27249,93,9171,27
5,"641791044871,81",14,8161642662187,27333,77,9203,11
5,"742537313530,23",14,5685840164447,27417,61,8980,23
5,"843283582188,66",14,3230315406817,27166,9,8916,55
5,"944029850847,08",14,795286940587,27249,93,9298,63
6,"44776119505,51",13,8380971492793,26998,41,9362,31
6,"145522388163,93",13,5987583946936,26663,5,9139,43
6,"246268656822,36",13,3615337323846,26243,85,9012,7
6,"347014925480,78",13,1264442762734,28004,49,9075,75
6,"447761194139,21",12,8935109502391,27082,25,9330,47
6,"548507462797,63",12,662754486257,27249,93,9043,91
6,"649253731456,06",12,4341954225531,26914,57,9203,11
6,"750000000114,49",12,207854101776,27501,45,9171,27
6,"850746268772,91",11,9837506691868,27333,77,9203,11
6,"951492537431,33",11,7619050708657,27249,93,9107,59
7,"52238806089,76",11,5423370519369,27417,61,9139,43
7,"152985074748,19",11,3250661548111,27333,77,9203,11
7,"253731343406,61",11,1101117174461,27166,9,9234,95
7,"354477612065,04",10,8974928716258,26998,41,8948,39
7,"455223880723,46",10,6872285412576,27249,93,9203,11
7,"555970149381,89",10,4793374406874,26914,57,9425,99
7,"656716418040,31",10,2738380730347,27333,77,9330,47
7,"757462686698,74",10,707487285452,26914,57,9330,47
7,"858208955357,16",9,87008748296333,26579,21,9234,95
7,"958955224015,59",9,67187219592316,27836,81,9203,11
8,"59701492674,01",9,47612050935898,27585,29,9266,79
8,"160447761332,44",9,2828498459348,26830,73,9107,59
8,"261194029990,86",9,9207740749411,26998,41,9234,95
8,"361940298649,29",8,90382017352854,27249,93,9298,63
8,"462686567307,71",8,7180948996668,26830,73,9171,27
8,"563432835966,14",8,53491811618303,27166,9,9330,47
8,"664179104624,56",8,35430612652602,27333,77,9234,95
8,"764925373282,99",8,17627500586779,27417,61,9330,47
8,"865671641941,41",8,84059967298,27249,93,9362,31
8,"966417910599,84",7,82801852228856,27249,93,9203,11
9,"67164179258,26",7,65782415555383,27166,9,9234,95
9,"167910447916,69",7,4902726474318,26998,41,9457,83
9,"268656716575,11",7,32537891066069,26914,57,9362,31
9,"369402985233,54",7,16315762142666,26914,57,9234,95
9,"470149253891,96",7,362321805771,27249,93,9266,79
9,"570895522550,39",6,8467898997383,27920,65,9234,95
9,"671641791208,81",6,69267162524597,27585,29,9457,83
9,"772388059867,24",6,54128211170871,27249,93,9330,47
9,"873134328525,66",6,39263483338417,27585,29,9394,15
9,"973880597184,09",6,24674302046022,26830,73,9425,99
0,100746268658425,6,10361965787769,27166,9,9330,47
0,101753731345009,5,96327748417451,27501,45,9394,15
0,102761194031594,5,8257289903519,27249,93,9298,63
0,103768656718178,5,69098641876275,27417,61,9298,63
0,104776119404762,5,55906176202174,27249,93,9171,27
0,105783582091346,5,42996676193832,27333,77,9266,79
0,106791044777931,5,30371290847135,27082,25,9394,15
0,107798507464515,5,18031143870665,26998,41,9585,19
0,108805970151099,5,5977333585659,27249,93,9457,83
0,109813432837683,4,94210932828284,27249,93,9362,31
0,110820895524268,4,82732988854135,27836,81,9553,35
0,111828358210852,4,71544523245026,27333,77,9298,63
0,112835820897436,4,6064653181807,27166,9,9330,47
0,11384328358402,4,50039984537034,27417,61,9298,63
0,114850746270605,4,39725825426029,27333,77,9394,15
0,115858208957189,4,29704972485473,27417,61,9234,95
0,116865671643773,4,19978317610392,27166,9,9298,63
0,117873134330357,4,10546726511038,27501,45,9298,63
0,118880597016942,4,1411038635825,27333,77,9425,99
0,119888059703526,3,92572067096636,27082,25,9394,15
0,12089552239011,3,84030598596437,27166,9,9362,31
0,121902985076694,3,75787393359267,27082,25,9234,95
0,122910447763279,3,67843185062561,26830,73,9234,95
0,123917910449863,3,60198680771868,26998,41,9617,3
0,124925373136447,3,52854560877908,26830,73,9489,67
0,125932835823031,3,45811479036017,26914,57,9553,35
0,126940298509616,3,39070062107971,27752,97,9298,63
0,1279477611962,3,32630910106186,27082,25,9521,51
0,128955223882784,3,26494596140325,26998,41,9553,35
0,129962686569368,3,20661666366281,26495,37,9553,35
0,130970149255953,3,15132639937573,27166,9,9553,35
0,131977611942537,3,9908008959135,27166,9,9553,35
0,132985074629121,3,4988238443512,27249,93,9362,31
0,133992537315705,3,373766269486,27082,25,9521,51
0,13500000000229,2,96065003143091,26830,73,9521,51
0,136007462688874,2,92062332561064,26579,21,9394,15
0,137014925375458,2,88366110776708,27669,13,9521,51
0,138022388062042,2,8497666676819,26998,41,9362,31
0,139029850748627,2,81894302209256,26830,73,9489,67
0,140037313435211,2,79119291442383,26830,73,9617,3
0,141044776121795,2,76651881454362,26663,5,9648,87
0,142052238808379,2,7449229185431,27166,9,9521,51
0,143059701494964,2,72640714854132,27920,65,9394,15
0,144067164181548,2,71097315251408,26998,41,9362,31
0,145074626868132,2,69862230414728,27082,25,9298,63
0,146082089554716,2,68935570271461,27082,25,9617,3
0,147089552241301,2,68317417297978,26998,41,9680,71
0,148097014927885,2,68007826512306,26663,5,9553,35
0,149104477614469,2,68006825469234,26160,1,9553,35
0,150111940301053,2,68314414257858,27166,9,9680,71
0,151119402987638,2,68930565501576,27082,25,9425,99
0,152126865674222,2,69855224360521,27082,25,9648,87
0,153134328360806,2,71088308536446,26914,57,9489,67
0,15414179104739,2,72629708280048,27166,9,9489,67
0,155149253733975,2,74479286400731,26998,41,9648,87
0,156156716420559,2,76636878278824,26746,89,9457,83
0,157164179107143,2,7910229188023,26830,73,9776,23
0,158171641793727,2,81875307773513,27249,93,9680,71
0,159179104480312,2,84955679149435,27166,9,9489,67
0,160186567166896,2,88343131842922,27836,81,9489,67
0,16119402985348,2,92037364357462,26998,41,9776,23
0,162201492540064,2,96038047891942,26830,73,9903,59
0,163208955226649,3,344826369911,26914,57,9617,3
0,164216417913233,3,4957316471274,27417,61,9489,67
0,165223880599817,3,9875107666411,27333,77,9489,67
0,166231343286401,3,15097762252709,26663,5,9648,87
0,167238805972986,3,20624815393525,26663,5,9648,87
0,16824626865957,3,26455775159557,26914,57,9744,39
0,169253731346154,3,32590122572623,26830,73,9712,55
0,170261194032738,3,39027311651866,26998,41,9744,39
0,171268656719323,3,45766769462328,26998,41,9935,43
0,172276119405907,3,5280789616596,26998,41,9744,39
0,173283582092491,3,60150065075,26663,5,9776,23
0,174291044779076,3,67792622707762,27333,77,9871,75
0,17529850746566,3,75734888846784,26830,73,9871,75
0,176305970152244,3,83976156599379,26998,41,9871,75
0,177313432838828,3,92515692460551,26830,73,9808,7
0,178320895525412,4,1352736378273,26830,73,9999,11
0,179328358211997,4,1048650182115,26914,57,9680,71
0,180335820898581,4,19916175848404,26663,5,9871,75
0,181343283585165,4,29640919182241,26998,41,9744,39
0,18235074627175,4,39659866282546,26830,73,9744,39
0,183358208958334,4,49972125423919,27249,93,9871,75
0,184365671644918,4,60576778775052,27166,9,9617,3
0,185373134331502,4,71472882480402,26830,73,9744,39
0,186380597018087,4,82659466744209,26663,5,9903,59
0,187388059704671,4,94135535916806,26495,37,10158,31
0,188395522391255,5,5900068583253,26411,53,9999,11
0,189402985077839,5,17952017654218,26746,89,9903,59
0,190410447764424,5,30290310459193,27249,93,9935,43
0,191417910451008,5,42913848841961,26998,41,9967,27
0,192425373137592,5,55821509258328,26663,5,9967,27
0,193432835824176,5,69012142876146,26579,21,9903,59
0,194440298510761,5,82484575677533,26998,41,9967,27
0,195447761197345,5,96237608563383,26579,21,9999,11
0,196455223883929,6,10270017460091,26411,53,9967,27
0,197462686570513,6,24580553428486,27082,25,9839,91
0,198470149257098,6,39167942775023,26076,17,9839,91
0,199477611943682,6,54030887165107,26327,69,9999,11
0,200485074630266,6,69168063738674,26495,37,9967,27
0,20149253731685,6,84578125227921,26327,69,10030,95
0,202500000003435,7,259700077237,26243,85,10158,31
0,203507462690019,7,16211392565249,25824,65,9967,27
0,204514925376603,7,32431782929062,25992,33,10190,15
0,205522388063187,7,48919427490622,26830,73,9999,11
0,206529850749772,7,65672858785203,27585,29,9999,11
0,207537313436356,7,8269058569204,26243,85,10062,79
0,20854477612294,7,9997109356701,26327,69,10190,15
0,209552238809524,8,17512844377463,26243,85,10285,67
0,210559701496109,8,353142768391,26160,1,10158,31
0,211567164182693,8,53373806554965,25908,49,10317,51
0,212574626869277,8,71689826156416,26160,1,10253,83
0,213582089555861,8,90260705446217,26160,1,10285,67
0,214589552242446,9,9084791543628,26160,1,10126,47
0,21559701492903,9,28160409031503,26327,69,10126,47
0,216604477615614,9,47485860105445,26243,85,10190,15
0,217611940302198,9,67059424724871,25740,81,10317,51
0,218619402988783,9,86879360766131,25489,29,10126,47
0,219626865675367,10,694390417755,26327,69,10221,99
0,220634328361951,10,2725126913646,26243,85,10253,83
0,221641791048535,10,4779964820811,26076,17,10190,15
0,22264925373512,10,6858721250656,26160,1,10221,99
0,223656716421704,10,8961211185745,25992,33,10094,63
0,224664179108288,11,1087247496267,25740,81,9967,27
0,225671641794872,11,3236640956692,25824,65,9967,27
0,226679104481457,11,5409200262614,25824,65,10381,19
0,227686567168041,11,7604732047774,25824,65,10126,47
0,228694029854625,11,9823040901272,25573,13,10349,35
0,229701492541209,12,2063929384963,25908,49,10317,51
0,230708955227794,12,4327198051027,25405,45,10190,15
0,231716417914378,12,6612645459716,25405,45,10444,87
0,232723880600962,12,8920068197291,25237,77,10221,99
0,233731343287546,13,1249260894123,24986,25,10253,83
0,234738805974131,13,3600016242969,26076,17,10381,19
0,235746268660715,13,5972125017429,25405,45,10381,19
0,236753731347299,13,8365376090563,25405,45,10253,83
0,237761194033883,14,779556453684,25908,49,10253,83
0,238768656720468,14,3214451235315,25237,77,10253,83
0,239776119407052,14,566984372032,25321,61,10253,83
0,240783582093636,14,8145515369183,25321,61,10444,87
0,24179104478022,15,641245837463,25153,93,10317,51
0,242798507466805,15,3156812995407,25237,77,10317,51
0,243805970153389,15,5691992947719,25321,61,10126,47
0,244813432839973,15,824656005349,25489,29,10190,15
0,245820895526557,16,820286946276,25237,77,10253,83
0,246828358213142,16,3412944554337,24986,25,10476,71
0,247835820899726,16,6024302121025,25656,97,10285,67
0,24884328358631,16,8654127225327,25405,45,10190,15
0,249850746272894,17,1302185802542,25824,65,10349,35
0,250858208959479,17,3968242165121,25153,93,10158,31
0,251865671646063,17,6652059023643,26243,85,10413,3
0,252873134332647,17,935339750793,25489,29,10381,19
0,253880597019231,18,2072017188314,25405,45,10444,87
0,254888059705816,18,4807676097034,25321,61,10253,83
0,2558955223924,18,7560130749766,24818,57,10221,99
0,256902985078984,19,329136167306,25489,29,10508,55
0,257910447765568,19,311444589736,25237,77,10476,71
0,258917910452153,19,5915812036494,24986,25,10413,3
0,259925373138737,19,8732985252186,25237,77,10190,15
0,260932835825321,20,1565714805024,25405,45,10572,23
0,261940298511905,20,441374857102,25070,9,10572,23
0,26294776119849,20,7276833064054,24650,89,10444,87
0,263955223885074,21,154713458431,25321,61,10381,19
0,264962686571658,21,3047133611563,25573,13,10381,19
0,265970149258242,21,5953836086765,24567,5,10221,99
0,266977611944827,21,8874562176172,25573,13,10444,87
0,267985074631411,22,1809051923764,24902,41,10413,3
0,268992537317995,22,4757044148497,25153,93,10349,35
0,270000000004579,22,7718276467558,24986,25,10540,39
0,271007462691164,23,692485319712,24567,5,10476,71
0,272014925377748,23,3679405988761,24986,25,10413,3
0,273022388064332,23,6678772627109,25070,9,10476,71
0,274029850750916,23,9690318279418,24734,73,10413,3
0,275037313437501,24,2713774906369,24902,41,10349,35
0,276044776124085,24,5748873408521,24483,21,10476,71
0,277052238810669,24,8795343650262,23980,17,10349,35
0,278059701497253,25,1852914483849,24147,85,10381,19
0,279067164183838,25,4921313773544,24315,53,10476,71
0,280074626870422,25,8000268419833,24986,25,10349,35
0,281082089557006,26,1089504383733,24567,5,10635,91
0,28208955224359,26,418874671119,25489,29,10413,3
0,283097014930175,26,7297719557537,24902,41,10381,19
0,284104477616759,27,416146212055,24483,21,10349,35
0,285111940303343,27,3543749122602,24818,57,10317,51
0,286119402989927,27,668024992031,24650,89,10349,35
0,287126865676512,27,9825369444366,24734,73,10317,51
0,288134328363096,28,2978827766857,24567,5,10285,67
0,28914179104968,28,6140344217684,24567,5,10285,67
0,290149253736264,28,930963740954,24734,73,10253,83
0,291156716422849,29,2486425262964,24734,73,10604,7
0,292164179109433,29,5670425031437,24483,21,10381,19
0,293171641796017,29,8861353326551,24567,5,10221,99
0,294179104482601,30,2058926143232,25824,65,10444,87
0,295186567169186,30,526285888502,24399,37,10190,15
0,29619402985577,30,8472866389395,24399,37,10062,79
0,297201492542354,31,1688662953161,24818,57,10317,51
0,298208955228938,31,4909962357871,24231,69,10190,15
0,299216417915523,31,8136477895303,23393,29,10317,51
0,300223880602107,32,1367922392984,24315,53,10190,15
0,301231343288691,32,4604008239738,24315,53,10285,67
0,302238805975275,32,7844447411295,24483,21,10221,99
0,30324626866186,33,1088951495921,24315,53,10190,15
0,304253731348444,33,4337231720086,24399,37,10062,79
0,305261194035028,33,7588998974174,24064,1,10476,71
0,306268656721612,34,843963838207,23980,17,10508,55
0,307276119408197,34,4101836607607,23812,49,10381,19
0,308283582094781,34,7362327318981,24567,5,10285,67
0,309291044781365,35,625145775929,24818,57,10476,71
0,310298507467949,35,3890001574874,24399,37,10381,19
0,311305970154534,35,7156604130907,24147,85,10349,35
0,312313432841118,36,424662703649,24734,73,10381,19
0,313320895527702,36,369388642313,24483,21,10285,67
0,314328358214286,36,6963984315683,24147,85,10444,87
0,315335820900871,37,234665329828,24315,53,10381,19
0,316343283587455,37,350563836219,24231,69,10476,71
0,317350746274039,37,6776612283402,23896,33,10317,51
0,318358208960623,38,47295964017,23980,17,10317,51
0,319365671647208,38,3317398300422,24231,69,10253,83
0,320373134333792,38,6586628240746,23980,17,10699,59
0,321380597020376,38,9854694810763,24147,85,10508,55
0,32238805970696,39,3121307139792,23644,81,10413,3
0,323395522393545,39,6386174486585,24147,85,10381,19
0,324402985080129,39,9649006265207,24315,53,10540,39
0,325410447766713,40,2909512070893,24231,69,10381,19
0,326417910453297,40,61674017059,23980,17,10508,55
0,327425373139882,40,9422385205333,24231,69,10508,55
0,328432835826466,41,2674172862959,24231,69,10221,99
0,32944029851305,41,5922475256982,23812,49,10572,23
0,330447761199634,41,916700327581,24315,53,10508,55
0,331455223886219,42,2407468143787,23477,13,10285,67
0,332462686572803,42,5643581446888,24147,85,10444,87
0,333470149259387,42,8875055158402,24147,85,10413,3
0,334477611945971,43,2101601664554,24064,1,10190,15
0,335485074632556,43,5322933790111,23644,81,10317,51
0,33649253731914,43,8538764823941,23393,29,10349,35
0,337500000005724,44,1748808544528,23980,17,10413,3
0,338507462692308,44,4952779245455,24650,89,10540,39
0,339514925378893,44,8150391760821,23812,49,10540,39
0,340522388065477,45,1341361490633,23728,65,10413,3
0,341529850752061,45,4525404426128,23896,33,10444,87
0,342537313438646,45,7702237175059,23812,49,10349,35
0,34354477612523,46,871576986911,23980,17,10444,87
0,344552238811814,46,403314177807,24147,85,10540,39
0,345559701498398,46,7186650156929,23980,17,10540,39
0,346567164184983,47,331821448934,24231,69,10413,3
0,347574626871567,47,3468375721564,24147,85,10444,87
0,348582089558151,47,6596033809247,24315,53,10413,3
0,349589552244735,47,9714517338204,24147,85,10444,87
0,35059701493132,48,2823548751228,23728,65,10285,67
0,351604477617904,48,5922851332391,24147,85,10413,3
0,352611940304488,48,9012149231664,24231,69,10444,87
0,353619402991072,49,2091167489477,24315,53,10317,51
0,354626865677657,49,5159632061186,23644,81,10158,31
0,355634328364241,49,8217269841468,24147,85,10444,87
0,356641791050825,50,1263808688626,23057,93,10444,87
0,357649253737409,50,4298977448812,23477,13,10572,23
0,358656716423993,50,7322505980159,23644,81,10699,59
0,359664179110578,51,334125176826,23812,49,10444,87
0,360671641797162,51,3333566992948,23896,33,10381,19
0,361679104483746,51,63205644665,23644,81,10763,27
0,362686567170331,51,9294851743046,23225,61,10444,87
0,363694029856915,52,2256164099408,23896,33,10667,75
0,364701492543499,52,5204237967229,23728,65,10731,43
0,365708955230083,52,8138810956428,23560,97,10540,39
0,366716417916668,53,1059621878555,23309,45,10540,39
0,367723880603252,53,3966410770037,24399,37,10604,7
0,368731343289836,53,6858918915316,23812,49,10444,87
0,36973880597642,53,9736888869878,23980,17,10413,3
0,370746268663005,54,2600064483165,23812,49,10572,23
0,371753731349589,54,544819092137,23896,33,10508,55
0,372761194036173,54,8281014690125,23225,61,10508,55
0,373768656722757,55,1098283657056,24147,85,10444,87
0,374776119409342,55,3899747074228,23477,13,10508,55
0,375783582095926,55,6685155600464,23477,13,10253,83
0,37679104478251,55,9454261323534,23477,13,10285,67
0,377798507469094,56,2206817782218,23477,13,10413,3
0,378805970155679,56,4942579988248,23477,13,10667,75
0,379813432842263,56,766130444811,23560,97,10508,55
0,380820895528847,57,362749184716,23477,13,10508,55
0,381828358215431,57,304667375894,24231,69,10317,51
0,382835820902016,57,5712839291018,23728,65,10221,99
0,3838432835886,57,8361008481811,24567,5,10317,51
0,384850746275184,58,990945633926,23644,81,10190,15
0,385858208961768,58,3602416672691,23477,13,10635,91
0,386865671648353,58,619518916699,23560,97,10444,87
0,387873134334937,58,8769032349951,23896,33,10413,3
0,388880597021521,59,1323717139485,24902,41,10190,15
0,389888059708105,59,3859016158675,23980,17,10476,71
0,39089552239469,59,6374703756011,24315,53,10349,35
0,391902985081274,59,8870556025478,24315,53,10540,39
0,392910447767858,60,1346350826482,24650,89,10667,75
0,393917910454442,60,3801867803624,24818,57,10476,71
0,394925373141027,60,6236888406307,24567,5,10349,35
0,395932835827611,60,8651195908194,25237,77,9999,11
0,396940298514195,61,1044575426493,25992,33,10349,35
0,397947761200779,61,3416813941085,25405,45,10317,51
0,398955223887364,61,5767700313484,25908,49,10126,47
0,399962686573948,61,8097025305626,26076,17,9935,43
0,400970149260532,62,404581598496,26327,69,10094,63
0,401977611947116,62,2690163810575,26746,89,9871,75
0,402985074633701,62,4953568516127,26076,17,9839,91
0,403992537320285,62,7194594263298,27249,93,9967,27
0,405000000006869,62,9413041592051,27166,9,9871,75
0,406007462693453,63,1608713051912,27249,93,9712,55
0,407014925380038,63,3781413219552,27082,25,9744,39
0,408022388066622,63,5930948716176,26998,41,9871,75
0,409029850753206,63,8057128224736,26914,57,9680,71
0,41003731343979,64,159762506954,26830,73,9585,19
0,411044776126375,64,2238664420174,27585,29,9585,19
0,412052238812959,64,4293648934011,27501,45,9521,51
0,413059701499543,64,6324533146822,27082,25,9457,83
0,414067164186127,64,8331136301985,27082,25,9425,99
0,415074626872712,65,313279803988,26998,41,9107,59
0,416082089559296,65,2270787234321,26830,73,9585,19
0,41708955224588,65,4203484367184,27166,9,9362,31
0,418097014932464,65,6111199184988,27082,25,9394,15
0,419104477619049,65,7993761893667,28004,49,9489,67
0,420111940305633,65,9851004937793,27417,61,9266,79
0,421119402992217,66,1682763015485,27333,77,9298,63
0,422126865678801,66,3488873093126,27585,29,9298,63
0,423134328365386,66,5269174419868,26914,57,9330,47
0,42414179105197,66,7023508541945,26830,73,9489,67
0,425149253738554,66,8751719316772,27249,93,9394,15
0,426156716425138,67,453652926845,27669,13,9330,47
0,427164179111723,67,2129157893429,27249,93,9425,99
0,428171641798307,67,3778085090044,27249,93,9234,95
0,429179104484891,67,5400287755731,27333,77,9457,83
0,430186567171475,67,6995621508122,27166,9,9107,59
0,43119402985806,67,8563944356287,26998,41,9521,51
0,432201492544644,68,10511671337,27249,93,9234,95
0,433208955231228,68,1619001409016,26830,73,9107,59
0,434216417917812,68,3105463701579,27249,93,9107,59
0,435223880604397,68,4564371290111,26914,57,9075,75
0,436231343290981,68,5995594326144,27082,25,9075,75
0,437238805977565,68,7399005425242,27249,93,9234,95
0,438246268664149,68,8774479678337,26998,41,9139,43
0,439253731350734,69,121894662854,26663,5,9171,27
0,440261194037318,69,1441130453599,27249,93,9012,7
0,441268656723902,69,2732069633438,27501,45,9107,59
0,442276119410486,69,3994597303745,26914,57,8789,19
0,443283582097071,69,5228601094629,26998,41,9203,11
0,444291044783655,69,6433971174936,26998,41,9234,95
0,445298507470239,69,7610600262026,26914,57,9234,95
0,446305970156823,69,8758383631315,27249,93,9394,15
0,447313432843408,69,9877219125605,26998,41,9234,95
0,448320895529992,70,967007164169,27417,61,9043,91
0,449328358216576,70,2027650751618,27166,9,9107,59
0,45033582090316,70,3059055486534,27082,25,9012,7
0,451343283589745,70,4061129569868,26830,73,9075,75
0,452350746276329,70,5033783813117,27166,9,9394,15
0,453358208962913,70,5976931646255,26830,73,9139,43
0,454365671649497,70,6890489125446,26830,73,9075,75
0,455373134336082,70,7774374940507,27669,13,9075,75
0,456380597022666,70,862851042215,27249,93,9139,43
0,45738805970925,70,9452819548985,27082,25,9043,91
0,458395522395834,71,247228954281,26998,41,9203,11
0,459402985082419,71,10116679325,27585,29,9139,43
0,460410447769003,71,1746068445591,26914,57,9139,43
0,461417910455587,71,245036512904,26830,73,9171,27
0,462425373142171,71,3124495297693,27249,93,9107,59
0,463432835828756,71,3768398951335,27249,93,9043,91
0,46444029851534,71,4382018780027,27501,45,9107,59
0,465447761201924,71,4965300169209,27082,25,8980,23
0,466455223888508,71,5518191204562,26998,41,9139,43
0,467462686575093,71,6040642676624,26914,57,9203,11
0,468470149261677,71,6532608085175,27082,25,9075,75
0,469477611948261,71,6994043643375,27333,77,8980,23
0,470485074634845,71,7424908281656,27752,97,9139,43
0,47149253732143,71,7825163651386,26914,57,9107,59
0,472500000008014,71,8194774128273,26914,57,9171,27
0,473507462694598,71,8533706815542,27166,9,9012,7
0,474514925381182,71,8841931546861,27333,77,8852,87
0,475522388067767,71,9119420889026,27166,9,9043,91
0,476529850754351,71,9366150144404,26327,69,9139,43
0,477537313440935,71,9582097353126,26998,41,8948,39
0,478544776127519,71,9767243295048,26914,57,9012,7
0,479552238814104,71,9921571491459,26830,73,8757,35
0,480559701500688,72,45068206547,27166,9,9203,11
0,481567164187272,72,137722448623,26914,57,9107,59
0,482574626873856,72,199525971097,26830,73,9234,95
0,483582089560441,72,230473273214,27333,77,8948,39
0,484589552247025,72,230561600544,26914,57,9107,59
0,485597014933609,72,199790945225,27669,13,9107,59
0,486604477620193,72,138164045966,26998,41,9043,91
0,487611940306778,72,45686387801,27417,61,9012,7
0,488619402993362,71,9922366201603,27082,25,8916,55
0,489626865679946,71,9768214463349,27166,9,9075,75
0,49063432836653,71,9583244893147,27249,93,9075,75
0,491641791053115,71,936747395401,26914,57,8916,55
0,492649253739699,71,9120920850393,27333,77,8916,55
0,493656716426283,71,8843607526485,26998,41,8884,71
0,494664179112867,71,8535558664255,26579,21,8980,23
0,495671641799452,71,8196801681254,27417,61,8821,3
0,496679104486036,71,7827366728174,26914,57,8948,39
0,49768656717262,71,742728668617,25992,33,9203,11
0,498694029859204,71,6996597163926,26495,37,9012,7
0,499701492545789,71,653533649449,27249,93,9043,91
0,500708955232373,71,6043545731864,27501,45,8948,39
0,501716417918957,71,5521268647344,27166,9,8980,23
0,502723880605542,71,4968551725629,26998,41,8916,55
0,503731343292126,71,4385444160683,26830,73,9107,59
0,50473880597871,71,3771997851355,26830,73,9107,59
0,505746268665294,71,3128267396761,27166,9,9043,91
0,506753731351879,71,2454310091424,27166,9,9012,7
0,507761194038463,71,1750185920174,26998,41,9075,75
0,508768656725047,71,1015957552812,27166,9,8916,55
0,509776119411631,71,251690338528,26663,5,8757,35
0,510783582098216,70,9457452300086,27417,61,8916,55
0,5117910447848,70,8633314127773,26998,41,9139,43
0,512798507471384,70,7779349173103,26914,57,9075,75
0,513805970157968,70,6895633442289,26579,21,8884,71
0,514813432844553,70,5982245589481,27333,77,8821,3
0,515820895531137,70,5039266909763,27249,93,8980,23
0,516828358217721,70,4066781331918,26579,21,9043,91
0,517835820904305,70,3064875410959,26914,57,8948,39
0,518843283590889,70,2033638320423,27166,9,8948,39
0,519850746277474,70,973161844435,26998,41,8789,19
0,520858208964058,69,9883540369543,26998,41,8852,87
0,521865671650642,69,8764870876309,26914,57,8948,39
0,522873134337226,69,7617252930685,27082,25,9394,15
0,523880597023811,69,6440788675149,26998,41,9012,7
0,524888059710395,69,523558281961,26998,41,8916,55
0,525895522396979,69,4001742632093,27417,61,8821,3
0,526902985083563,69,2739377929192,27166,9,9139,43
0,527910447770148,69,1448601066292,26998,41,9203,11
0,528917910456732,69,129526927571,26663,5,9012,7
0,529925373143316,68,8782272915778,26998,41,8948,39
0,5309328358299,68,7406958941777,27501,45,8948,39
0,531940298516485,68,6003707413881,26076,17,8916,55
0,532947761203069,68,4572643226953,27166,9,9012,7
0,533955223889653,68,311389375129,27166,9,9012,7
0,534962686576238,68,162758882129,26830,73,8980,23
0,535970149262822,68,113860723893,26998,41,8916,55
0,536977611949406,67,8572844186808,27082,25,8884,71
0,53798507463599,67,7004676366522,27082,25,8948,39
0,538992537322575,67,5409496836092,26914,57,8980,23
